M,A,B,C,cas,casSeconds,casIS,pocetNezObj,pocetNezObjIS,vytA,vytAIS,vytB,vytBIS,vytC,vytCIS
54,6,7,42,14:17:44,51464.99181327619,<50923.507;52006.4767>,7.71,<7.393;8.018>,86.59,<86.4602;86.7197>,69.36,<69.2472;69.4658>,90.34,<90.1993;90.4905>
52,7,7,42,15:02:44,54164.73412854004,<53458.0658;54871.4025>,9.13,<8.7213;9.5323>,76.68,<76.5711;76.7919>,69.35,<69.2475;69.4462>,89.88,<89.7457;90.0112>
59,5,7,47,18:09:25,65365.62319968484,<64021.5556;66709.6908>,15.69,<14.9249;16.4605>,97.02,<96.9121;97.1366>,69.22,<69.1142;69.3174>,81.3,<81.173;81.4222>
58,6,7,40,15:37:57,56277.06851666075,<55504.7017;57049.4353>,9.65,<9.2159;10.0899>,88.75,<88.6036;88.8952>,69.37,<69.2711;69.4785>,94.59,<94.4432;94.7272>
55,5,6,40,30:06:59,108419.24361614077,<104812.2882;112026.199>,39.29,<37.2433;41.3333>,98.4,<98.317;98.476>,79.81,<79.7405;79.8866>,94.11,<94.0227;94.1992>
53,6,6,48,15:25:56,55556.49176814942,<54772.8148;56340.1688>,9.97,<9.5199;10.4173>,86.29,<86.1793;86.4063>,80.94,<80.8296;81.0589>,79.12,<79.0084;79.2375>
59,5,7,40,29:14:02,105242.0381296221,<101961.5282;108522.548>,37.68,<35.8135;39.5396>,98.76,<98.6785;98.8384>,68.65,<68.5857;68.7107>,94.43,<94.3398;94.5155>
54,7,5,48,25:15:17,90917.0611401738,<88039.2013;93794.921>,28.8,<27.1599;30.4307>,78.14,<78.0373;78.2423>,96.35,<96.2439;96.4601>,77.86,<77.7694;77.947>
54,7,7,39,19:07:20,68840.0885289715,<66974.8241;70705.3529>,16.55,<15.4876;17.6206>,78.17,<78.0398;78.2944>,69.22,<69.1172;69.3145>,96.35,<96.212;96.4858>
55,6,7,40,16:10:28,58228.41319081673,<57245.3043;59211.5221>,11.09,<10.5285;11.6534>,88.25,<88.1164;88.3905>,69.32,<69.2233;69.4243>,94.6,<94.4619;94.7393>
55,6,6,47,13:13:40,47620.45423285651,<47147.9028;48093.0056>,5.55,<5.2719;5.8243>,85.71,<85.5153;85.9034>,80.77,<80.5615;80.9689>,80.67,<80.4614;80.8696>
58,5,6,43,20:16:00,72960.2116900972,<71154.2489;74766.1745>,19.68,<18.658;20.708>,97.61,<97.5061;97.714>,80.64,<80.5329;80.7426>,88.65,<88.5252;88.7708>
56,5,6,49,20:10:54,72654.58885924754,<70933.3387;74375.8391>,19.59,<18.6092;20.5752>,97.12,<97.0129;97.2176>,80.68,<80.5692;80.7876>,77.86,<77.7477;77.9626>
54,6,7,38,27:45:14,99914.26445069256,<96798.4642;103030.0647>,33.69,<31.9346;35.4545>,88.88,<88.7771;88.9763>,68.57,<68.5049;68.6415>,98.18,<98.0881;98.2778>
50,6,7,47,23:23:06,84186.26985983901,<81615.2234;86757.3163>,26.04,<24.5766;27.5011>,85.92,<85.8282;86.0183>,68.91,<68.8328;68.9968>,80.24,<80.1435;80.3376>
54,6,6,41,15:47:08,56828.725620006466,<56017.162;57640.2892>,10.44,<9.9815;10.9041>,87.41,<87.2858;87.5385>,80.88,<80.7639;80.9961>,92.36,<92.2252;92.495>
54,7,6,45,13:32:33,48753.61089131366,<48267.7187;49239.5031>,6.05,<5.7679;6.326>,77,<76.8701;77.122>,81.13,<80.9946;81.2563>,84.12,<83.9843;84.2595>
57,6,7,45,12:33:40,45220.0713592917,<44771.0083;45669.1344>,4.37,<4.1044;4.6336>,85.93,<85.6968;86.1589>,69.66,<69.4456;69.869>,84.83,<84.5613;85.0959>
54,6,7,41,15:08:35,54515.69001115931,<53763.1734;55268.2066>,9.28,<8.8502;9.713>,87.24,<87.0977;87.3731>,69.36,<69.2436;69.4675>,92.46,<92.3115;92.615>
58,6,7,43,12:40:12,45612.395239504425,<45159.9332;46064.8573>,4.45,<4.1862;4.7177>,86.49,<86.2234;86.7654>,69.3,<69.0782;69.5251>,88.2,<87.9111;88.4914>
57,5,7,43,20:54:17,75257.6843664074,<73264.4835;77250.8852>,21.19,<20.0472;22.3276>,97.64,<97.5379;97.7448>,69.17,<69.0743;69.2562>,88.69,<88.5668;88.8082>
59,6,6,48,12:13:31,44011.19600175611,<43711.9942;44310.3978>,3.58,<3.4004;3.7588>,85.51,<85.2701;85.7596>,81.12,<80.8544;81.3779>,79.42,<79.1581;79.6763>
59,7,5,48,19:22:31,69751.13089793816,<67933.071;71569.1908>,16.4,<15.3808;17.4286>,78,<77.8702;78.124>,96.7,<96.5687;96.8271>,78.17,<78.0678;78.2762>
56,6,7,49,12:34:14,45254.76363190443,<44809.8938;45699.6335>,4.45,<4.1901;4.7086>,85.43,<85.1816;85.6881>,69.56,<69.316;69.7997>,77.83,<77.5568;78.1049>
54,5,6,40,30:35:07,110107.78631825566,<106705.1862;113510.3865>,40.27,<38.3449;42.2024>,98.18,<98.1032;98.2517>,79.68,<79.6083;79.7485>,93.91,<93.8274;93.9921>
53,6,6,39,22:37:37,81457.4346880385,<78927.9689;83986.9005>,23.84,<22.4005;25.2747>,88.37,<88.2532;88.4795>,80.45,<80.3518;80.5407>,96.38,<96.2676;96.4964>
58,7,7,41,13:18:00,47880.90195032846,<47405.4707;48356.3332>,5,<4.7294;5.2643>,77.73,<77.557;77.9071>,69.46,<69.316;69.601>,92.11,<91.9204;92.2913>
59,7,6,47,11:44:42,42282.142053905016,<42069.849;42494.4351>,2.45,<2.3297;2.5639>,75.96,<75.7149;76.2094>,80.81,<80.5368;81.0808>,80.43,<80.1581;80.7067>
51,7,6,41,19:36:49,70609.59527197327,<68768.6012;72450.5893>,18.09,<17.0364;19.1358>,77.22,<77.1112;77.3326>,80.54,<80.432;80.6458>,91.54,<91.4181;91.6673>
