M,A,B,C,cas,casSeconds,casIS,pocetNezObj,pocetNezObjIS,vytA,vytAIS,vytB,vytBIS,vytC,vytCIS
50,5,5,36,89:07:33,320853.7026596598,<314765.3691;326942.0362>,157.49,<153.9907;160.9961>,96.18,<96.146;96.2049>,89.8,<89.7659;89.8331>,97.48,<97.4518;97.5076>
59,7,6,37,39:28:01,142081.59350743593,<137439.1779;146724.0091>,54.67,<52.0404;57.295>,77.76,<77.7012;77.8225>,78.98,<78.9281;79.0346>,99.13,<99.071;99.1855>
49,6,7,40,34:58:02,125882.60373498815,<121813.4149;129951.7925>,49.27,<46.9445;51.5932>,85.51,<85.4523;85.5711>,68.05,<68.0011;68.1022>,92.99,<92.9229;93.057>
58,6,6,37,42:53:14,154394.42057130838,<149811.8909;158976.9502>,62.31,<59.7118;64.9132>,88.69,<88.6262;88.7516>,78.81,<78.7629;78.8571>,99.21,<99.1618;99.262>
55,6,5,38,34:49:14,125354.51786004414,<121257.1799;129451.8559>,47.51,<45.1813;49.8364>,88.8,<88.7178;88.8821>,95.29,<95.2145;95.3663>,97.44,<97.3605;97.5135>
51,5,6,38,56:00:14,201614.23587187458,<196185.1894;207043.2824>,91.3,<88.2089;94.3842>,97.41,<97.3704;97.4419>,77.66,<77.6203;77.6914>,96.16,<96.1255;96.2013>
50,6,5,47,50:29:55,181795.173669772,<176757.4238;186832.9236>,79.97,<77.107;82.8292>,85.97,<85.9308;86.019>,93.72,<93.679;93.7648>,77.64,<77.5993;77.6738>
55,7,6,35,84:22:14,303734.9704567407,<297842.2089;309627.7321>,145.09,<141.711;148.4632>,74.26,<74.2309;74.2941>,75.1,<75.066;75.126>,99.58,<99.5614;99.6021>
55,6,7,36,63:53:12,229992.841573216,<224461.4956;235524.1876>,105.09,<101.9118;108.2593>,86.73,<86.6826;86.7698>,65.92,<65.8879;65.9487>,99.48,<99.4527;99.5104>
50,5,6,46,48:53:19,175999.34842809552,<171082.7181;180915.9787>,77.33,<74.534;80.1337>,95.88,<95.8388;95.9202>,78.29,<78.2521;78.3341>,80.32,<80.2733;80.3577>
51,5,5,41,56:13:55,202435.33447758594,<197217.4761;207653.1929>,91.54,<88.5643;94.5133>,96.06,<96.0221;96.0938>,92.99,<92.952;93.032>,89.05,<89.0092;89.0891>
